horizon,variable,rank,lag_steps,lag_hours,pearson_r
30min,BZ_GSM,0,792,66.0,-0.0786
30min,BZ_GSM,1,756,63.0,-0.0775
30min,BZ_GSM,2,828,69.0,-0.0761
30min,flow_speed,0,576,48.0,0.5216
30min,flow_speed,1,648,54.0,0.5215
30min,flow_speed,2,612,51.0,0.5212
30min,proton_density,0,204,17.0,-0.3348
30min,proton_density,1,240,20.0,-0.3328
30min,proton_density,2,168,14.0,-0.3314
30min,AE_INDEX,0,858,71.5,0.2738
30min,AE_INDEX,1,822,68.5,0.2698
30min,AE_INDEX,2,786,65.5,0.2592
30min,SYM_H,0,720,60.0,-0.2989
30min,SYM_H,1,684,57.0,-0.2971
30min,SYM_H,2,756,63.0,-0.2956
6h,BZ_GSM,0,726,60.5,-0.0786
6h,BZ_GSM,1,690,57.5,-0.0775
6h,BZ_GSM,2,762,63.5,-0.0761
6h,flow_speed,0,510,42.5,0.5216
6h,flow_speed,1,582,48.5,0.5215
6h,flow_speed,2,546,45.5,0.5212
6h,proton_density,0,138,11.5,-0.3348
6h,proton_density,1,174,14.5,-0.3328
6h,proton_density,2,102,8.5,-0.3314
6h,AE_INDEX,0,792,66.0,0.2738
6h,AE_INDEX,1,756,63.0,0.2698
6h,AE_INDEX,2,828,69.0,0.2695
6h,SYM_H,0,654,54.5,-0.2989
6h,SYM_H,1,618,51.5,-0.2971
6h,SYM_H,2,690,57.5,-0.2956
12h,BZ_GSM,0,654,54.5,-0.0786
12h,BZ_GSM,1,618,51.5,-0.0775
12h,BZ_GSM,2,690,57.5,-0.0761
12h,flow_speed,0,438,36.5,0.5216
12h,flow_speed,1,510,42.5,0.5215
12h,flow_speed,2,474,39.5,0.5212
12h,proton_density,0,66,5.5,-0.3348
12h,proton_density,1,102,8.5,-0.3328
12h,proton_density,2,30,2.5,-0.3314
12h,AE_INDEX,0,720,60.0,0.2738
12h,AE_INDEX,1,684,57.0,0.2698
12h,AE_INDEX,2,756,63.0,0.2695
12h,SYM_H,0,582,48.5,-0.2989
12h,SYM_H,1,546,45.5,-0.2971
12h,SYM_H,2,618,51.5,-0.2956
